slug,mechanism_overlap,study_type,had_flat_nontransfer_limitation,reconciled,attention_only_meta_F25,practice,title
effectiveness-of-online-mindfulness-interventions-on-medical-students-,attention,Meta-analysis / Systematic review,Y,Y,Y,mindfulness / meditation,Effectiveness of online mindfulness interventions 
effectiveness-of-yoga-in-modulating-markers-of-immunity-and-inflammati,breath,Cross-sectional / Mechanistic,Y,Y,N,yoga,Effectiveness of Yoga in Modulating Markers of Imm
effects-of-a-prenatal-mindfulness-program-on-longitudinal-changes-in-s,attention,RCT,Y,Y,N,mindfulness / meditation,Effects of a prenatal mindfulness program on longi
effects-of-breathing-exercises-in-patients-with-chronic-obstructive-pu,breath,Meta-analysis / Systematic review,Y,Y,N,yoga,Effects of Breathing Exercises in Patients With Ch
effects-of-mind-body-exercise-on-perimenopausal-and-postmenopausal-wom,attention,Meta-analysis / Systematic review,Y,Y,Y,Tai Chi,Effects of mind-body exercise on perimenopausal an
effects-of-mindfulness-training-and-exercise-on-cognitive-function-in-,attention,RCT,Y,Y,N,Mindfulness-Based Stress Reduction (MBSR),Effects of Mindfulness Training and Exercise on Co
effects-of-mindfulness-yoga-vs-stretching-and-resistance-training-exer,attention,RCT,Y,Y,N,yoga,Effects of Mindfulness Yoga vs Stretching and Resi
effects-of-mobile-mindfulness-meditation-on-the-mental-health-of-unive,attention,Meta-analysis / Systematic review,N,N,Y,mindfulness / meditation,Effects of Mobile Mindfulness Meditation on the Me
efficacy-of-mhealth-aided-12-week-meditation-and-breath-intervention-o,breath,RCT,Y,Y,N,yoga,Efficacy of mHealth aided 12-week meditation and b
efficacy-of-the-mindfulness-meditation-mobile-app-calm-to-reduce-stres,attention,RCT,Y,Y,N,mindfulness / meditation,Efficacy of the Mindfulness Meditation Mobile App 
guided-self-help-works-randomized-waitlist-controlled-trial-of-pacific,attention,RCT,Y,Y,N,mindfulness / meditation,Guided Self-Help Works: Randomized Waitlist Contro
health-care-workers-need-for-headspace-findings-from-a-multisite-defin,attention,RCT,Y,Y,N,mindfulness / meditation,Health Care Workers' Need for Headspace: Findings 
holistic-nursing-in-practice-mindfulness-based-yoga-as-an-intervention,attention,RCT,Y,Y,N,yoga,Holistic Nursing in Practice: Mindfulness-Based Yo
how-breath-control-can-change-your-life-a-systematic-review-on-psycho-,breath,Meta-analysis / Systematic review,Y,Y,N,breath-and-attention meditation,How Breath-Control Can Change Your Life: A Systema
impact-of-mindfulness-based-stress-reduction-training-on-intrinsic-bra,attention,RCT,Y,Y,N,Mindfulness-Based Stress Reduction (MBSR),Impact of Mindfulness-Based Stress Reduction train
impact-of-short-and-long-term-mindfulness-meditation-training-on-amygd,attention,RCT,N,N,N,Mindfulness-Based Stress Reduction (MBSR),Impact of short- and long-term mindfulness meditat
improving-stress-management-anxiety-and-mental-well-being-in-medical-s,attention,RCT,Y,Y,N,yoga,"Improving stress management, anxiety, and mental w"
investigation-of-mindfulness-meditation-practitioners-with-voxel-based,attention,Cross-sectional / Mechanistic,Y,Y,N,Vipassana,Investigation of mindfulness meditation practition
isha-yoga-practices-vegan-diet-and-participation-in-samyama-meditation,isha,Cross-sectional / Mechanistic,N,N,N,Isha Samyama,"Isha yoga practices, vegan diet, and participation"
large-scale-genomic-study-reveals-robust-activation-of-the-immune-syst,isha,Cross-sectional / Mechanistic,Y,Y,N,Isha Inner Engineering,Large-scale genomic study reveals robust activatio
mechanisms-of-mindfulness-emotion-regulation-following-a-focused-breat,breath+attention,RCT,Y,Y,N,breath-and-attention meditation,Mechanisms of mindfulness: emotion regulation foll
meditation-programs-for-psychological-stress-and-well-being-a-systemat,attention,Meta-analysis / Systematic review,Y,Y,Y,mindfulness / meditation,Meditation programs for psychological stress and w
meta-analytic-evidence-that-mindfulness-training-alters-resting-state-,attention,Meta-analysis / Systematic review,Y,Y,Y,mindfulness / meditation,Meta-analytic evidence that mindfulness training a
mind-the-hype-a-critical-evaluation-and-prescriptive-agenda-for-resear,attention,Meta-analysis / Systematic review,Y,Y,Y,mindfulness / meditation,Mind the Hype: A Critical Evaluation and Prescript
mindful-attention-to-breath-regulates-emotions-via-increased-amygdala-,breath+attention,RCT,Y,Y,N,breath-and-attention meditation,Mindful attention to breath regulates emotions via
mindfulness-based-interventions-for-psychiatric-disorders-a-systematic,attention,Meta-analysis / Systematic review,Y,Y,Y,mindfulness / meditation,Mindfulness-based interventions for psychiatric di
mindfulness-based-stress-reduction-for-healthy-individuals-a-meta-anal,attention,Meta-analysis / Systematic review,Y,Y,Y,Mindfulness-Based Stress Reduction (MBSR),Mindfulness-based stress reduction for healthy ind
mindfulness-based-stress-reduction-for-stress-management-in-healthy-pe,attention,Meta-analysis / Systematic review,Y,Y,Y,Mindfulness-Based Stress Reduction (MBSR),Mindfulness-based stress reduction for stress mana
mindfulness-based-stress-reduction-in-post-treatment-breast-cancer-pat,attention,RCT,Y,Y,N,Mindfulness-Based Stress Reduction (MBSR),Mindfulness-Based Stress Reduction in Post-treatme
mindfulness-based-therapy-a-comprehensive-meta-analysis,attention,Meta-analysis / Systematic review,Y,Y,Y,mindfulness / meditation,Mindfulness-based therapy: a comprehensive meta-an
mindfulness-for-smoking-cessation,attention,Meta-analysis / Systematic review,Y,Y,Y,yoga,Mindfulness for smoking cessation
mindfulness-interventions,attention,RCT,Y,Y,N,mindfulness / meditation,Mindfulness Interventions
mindfulness-meditation-and-network-neuroscience-review-synthesis-and-f,attention,RCT,Y,Y,N,mindfulness / meditation,Mindfulness Meditation and Network Neuroscience: R
mindfulness-meditation-and-the-immune-system-a-systematic-review-of-ra,attention,Meta-analysis / Systematic review,N,N,Y,mindfulness / meditation,Mindfulness meditation and the immune system: a sy
mindfulness-meditation-improves-emotion-regulation-and-reduces-drug-ab,attention,RCT,Y,Y,N,mindfulness / meditation,Mindfulness meditation improves emotion regulation
mindfulness-meditation-training-alters-stress-related-amygdala-resting,attention,RCT,Y,Y,N,mindfulness / meditation,Mindfulness meditation training alters stress-rela
mindfulness-training-improves-working-memory-capacity-and-gre-performa,attention,RCT,Y,Y,N,mindfulness / meditation,Mindfulness training improves working memory capac
neurobiological-changes-induced-by-mindfulness-and-meditation-a-system,attention,Meta-analysis / Systematic review,Y,Y,Y,mindfulness / meditation,Neurobiological Changes Induced by Mindfulness and
online-guided-meditation-training-isha-kriya-improves-self-reported-sy,isha,RCT,Y,Y,N,Isha Kriya,Online guided meditation training (Isha Kriya) imp
online-isha-upa-yoga-for-student-mental-health-and-well-being-during-c,isha,RCT,Y,Y,N,yoga,Online Isha Upa Yoga for student mental health and
physiology-of-long-pranayamic-breathing-neural-respiratory-elements-ma,breath,Cross-sectional / Mechanistic,Y,Y,N,pranayama (yogic breathing),Physiology of long pranayamic breathing: neural re
psychological-and-mind-body-interventions-for-endometriosis-a-systemat,attention,Meta-analysis / Systematic review,Y,Y,Y,yoga,Psychological and mind-body interventions for endo
reducing-stress-with-yoga-a-systematic-review-based-on-multimodal-bios,attention,Meta-analysis / Systematic review,Y,Y,Y,yoga,Reducing Stress with Yoga: A Systematic Review Bas
research-review-the-effects-of-mindfulness-based-interventions-on-cogn,attention,Meta-analysis / Systematic review,Y,Y,Y,mindfulness / meditation,Research Review: The effects of mindfulness-based 
review-of-the-neural-oscillations-underlying-meditation,attention,Meta-analysis / Systematic review,Y,Y,Y,mindfulness / meditation,Review of the Neural Oscillations Underlying Medit
slow-breathing-for-reducing-stress-the-effect-of-extending-exhale,breath,RCT,Y,Y,N,yoga,Slow breathing for reducing stress: The effect of 
the-clinical-efficacy-of-mindfulness-based-treatments-for-alcohol-and-,attention,Meta-analysis / Systematic review,Y,Y,Y,mindfulness / meditation,The Clinical Efficacy of Mindfulness-Based Treatme
the-effect-of-mindfulness-based-programs-on-cognitive-function-in-adul,attention,Meta-analysis / Systematic review,Y,Y,Y,mindfulness / meditation,The Effect of Mindfulness-based Programs on Cognit
the-effectiveness-of-mindfulness-based-programs-in-reducing-stress-exp,attention,Meta-analysis / Systematic review,Y,Y,Y,Mindfulness-Based Stress Reduction (MBSR),The effectiveness of mindfulness based programs in
the-effects-of-mindfulness-meditation-on-nursing-students-stress-and-a,attention,RCT,Y,Y,N,mindfulness / meditation,The Effects of Mindfulness Meditation on Nursing S
the-impact-of-mindfulness-meditation-on-the-wandering-mind-a-systemati,attention,Meta-analysis / Systematic review,N,N,Y,mindfulness / meditation,The Impact of Mindfulness Meditation on the Wander
the-influence-of-mindfulness-meditation-combined-with-progressive-musc,attention,RCT,Y,Y,N,mindfulness / meditation,The influence of mindfulness meditation combined w
the-potential-effects-of-meditation-on-age-related-cognitive-decline-a,attention,Meta-analysis / Systematic review,Y,Y,Y,mindfulness / meditation,The potential effects of meditation on age-related
yoga-for-improving-health-related-quality-of-life-mental-health-and-ca,breath,Meta-analysis / Systematic review,N,N,N,yoga,"Yoga for improving health-related quality of life,"
yoga-mindfulness-based-stress-reduction-and-stress-related-physiologic,attention,Meta-analysis / Systematic review,Y,Y,Y,yoga,"Yoga, mindfulness-based stress reduction and stres"
